Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Curacao,191163,189288,169572,159380,141424,155446,156851,150385,444,430.5472973,426.3243243,381.9189189,358.963964,318.5225225,350.1036036,353.268018,338.704955
Cyprus,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,135.281375,133.7733218,128.3407199,122.1150146,102.5010269,85.23402875,73.43281807,69.26861961
Czech Republic,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,133.0626514,133.5313891,133.4406644,132.6919292,129.7750586,130.6180435,130.223293,124.2090154
Denmark,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,136.4983756,135.1845036,131.7537476,128.8079315,123.9303615,119.381422,118.935165,114.2377825
Djibouti,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,48.3124569,46.98948276,43.37323276,39.62064655,31.98418103,24.87814655,13.97073276,6.223232759
Dominica,72737,71995,70007,68755,68346,69481,72978,68895,751,96.85352863,95.86551265,93.2183755,91.55126498,91.00665779,92.51797603,97.17443409,91.73768309
Dominican Republic,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,230.7086561,226.0003698,213.7994288,200.8537938,175.4800805,146.4733414,118.2593331,91.96176368
DR Congo,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,42.22439568,39.59862985,33.54442103,28.31355118,20.73316039,15.34742871,11.39032129,8.594009957
Ecuador,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.02288317,63.53320137,58.50254117,54.14510495,45.60923779,37.74671021,29.3881506,22.29516221
Egypt,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,110.7188418,107.2024879,97.48496085,87.03916704,71.1969385,57.07479675,43.641634,34.6969784
El Salvador,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,301.1450026,299.0699587,296.1392519,290.5771589,283.1843544,255.0819353,214.2955183,172.001806
Equatorial Guinea,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,59.70938647,56.89811415,48.01871591,39.0190724,24.41898685,16.59652062,10.07126306,11.29924067
Eritrea,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31.32680272,30.23697279,28.40141156,26.76638605,20.34761905,18.28197279,14.09848639,10.82268707
Estonia,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,29.32014062,29.39491896,29.06796825,29.44115241,30.88590886,34.72867977,32.65710748,30.11473235
Eswatini,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,69.20467634,67.99441373,65.30384704,63.34485142,59.34669431,49.18284957,34.47155033,25.50478
Ethiopia,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,111.726817,106.1223499,92.79352984,80.80937336,60.70077606,43.35603821,31.64490537,25.63456126
Falkland Islands,3780,3747,3408,3187,3080,2332,2240,2274,12173,0.310523289,0.307812372,0.279963854,0.261808921,0.253018976,0.191571511,0.184013801,0.186806868
Faroe Islands,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.11198851,37.62742283,35.04379038,34.75233309,32.7781766,34.08399139,30.90739411,27.57788945
Fiji,929766,920422,917200,905169,832509,780430,644582,527634,18272,50.88474168,50.37335814,50.19702277,49.53858363,45.56200744,42.71179947,35.2770359,28.87664186
Finland,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,16.37219878,16.33887668,16.19111233,15.84778562,15.29504113,14.73460807,14.12257405,13.61198083
France,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419498,116.8762686,115.6613147,113.1867554,106.3367495,102.2537761,97.36145878,91.57883613
French Guiana,304557,290969,257026,228453,164351,113931,66825,46484,83534,3.645904662,3.483240357,3.076902818,2.73485048,1.967474322,1.363887758,0.799973663,0.556468025
French Polynesia,306279,301920,291787,283788,250927,211089,163591,117891,4167,73.50107991,72.4550036,70.02327814,68.10367171,60.21766259,50.65730742,39.2586993,28.29157667
